fm,n_qubits,depth,n_samples,n_features,seed,rff_error,nystrom_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
angle,4,1,40,4,0,0.3063739149746362,0.02061563237642645,2.1999743253794803,2.199974325379481,1.8898786887251928,0.945000641865513,1.0,0.9434807250377609,0.8574158895630333,4.308157043661954
angle,4,1,40,4,1,0.19740153492392543,0.014396829168384266,1.9513819832358206,1.9513819832358206,1.7011507143147624,0.9512154504191045,1.0,0.953107937642965,0.8995131172274283,4.590998237817864
angle,4,1,40,4,2,0.37544749084723383,0.013359467070839192,2.1127513427256006,2.1127513427256024,1.8109952296829679,0.94718121643186,1.0,0.9502855628267579,0.8643274849605509,4.41768685873537
angle,4,1,40,4,3,0.4059387476396174,0.039552099621714944,2.416208740138653,2.4162087401386527,2.055952940492256,0.9395947814965336,1.0,0.9246128020733281,0.861897070011425,4.259276540236591
angle,4,2,40,4,0,0.3063739149746362,0.02061563237642645,2.1999743253794803,2.199974325379481,1.8898786887251928,0.945000641865513,1.0,0.9434807250377609,0.8574158895630333,4.308157043661954
angle,4,2,40,4,1,0.19740153492392543,0.014396829168384266,1.9513819832358206,1.9513819832358206,1.7011507143147624,0.9512154504191045,1.0,0.953107937642965,0.8995131172274283,4.590998237817864
angle,4,2,40,4,2,0.37544749084723383,0.013359467070839192,2.1127513427256006,2.1127513427256024,1.8109952296829679,0.94718121643186,1.0,0.9502855628267579,0.8643274849605509,4.41768685873537
angle,4,2,40,4,3,0.4059387476396174,0.039552099621714944,2.416208740138653,2.4162087401386527,2.055952940492256,0.9395947814965336,1.0,0.9246128020733281,0.861897070011425,4.259276540236591
angle,4,3,40,4,0,0.3063739149746362,0.02061563237642645,2.1999743253794803,2.199974325379481,1.8898786887251928,0.945000641865513,1.0,0.9434807250377609,0.8574158895630333,4.308157043661954
angle,4,3,40,4,1,0.19740153492392543,0.014396829168384266,1.9513819832358206,1.9513819832358206,1.7011507143147624,0.9512154504191045,1.0,0.953107937642965,0.8995131172274283,4.590998237817864
angle,4,3,40,4,2,0.37544749084723383,0.013359467070839192,2.1127513427256006,2.1127513427256024,1.8109952296829679,0.94718121643186,1.0,0.9502855628267579,0.8643274849605509,4.41768685873537
angle,4,3,40,4,3,0.4059387476396174,0.039552099621714944,2.416208740138653,2.4162087401386527,2.055952940492256,0.9395947814965336,1.0,0.9246128020733281,0.861897070011425,4.259276540236591
iqp,4,1,40,4,0,0.31209824202218706,0.050261376481074774,2.5493551850834,2.5493551850833995,2.2886270363592596,0.936266120372915,1.0,0.86791789716734,0.8574041888053555,3.234498334682511
iqp,4,1,40,4,1,0.23254808527037732,0.04830003131188608,2.2817203385487286,2.2817203385487286,2.1294960200493307,0.9429569915362818,1.0,0.8760345577511696,0.9044490850317093,3.4207848790647564
iqp,4,1,40,4,2,0.4073403220826335,0.05921446200935695,2.6424405843166023,2.6424405843166023,2.3074169772340434,0.933938985392085,1.0,0.8760010353793197,0.8454774891101383,3.358560287351644
iqp,4,1,40,4,3,0.4745439958475819,0.09363753280130653,2.8519050652104174,2.8519050652104188,2.4771542827602477,0.9287023733697396,1.0,0.8397343593837017,0.8591898471798545,3.1997181471609215
iqp,4,2,40,4,0,0.46376029845787653,0.09554431575935599,3.536446593912741,3.5364465939127405,2.8268672411980824,0.9115888351521815,1.0,0.7913028113076379,0.8288239511092661,2.8557381570453186
iqp,4,2,40,4,1,0.3693641513486459,0.07563056675351479,2.801035965297599,2.8010359652975985,2.468395451879634,0.92997410086756,1.0,0.8338987105918011,0.8537625415336247,3.2255453828579452
iqp,4,2,40,4,2,0.5491499061737632,0.09604674512786406,3.69858213466986,3.69858213466986,2.789184303774319,0.9075354466332535,1.0,0.8079148835714859,0.8263657797526355,3.097815372300641
iqp,4,2,40,4,3,0.5522863248381429,0.1392131876887563,3.852042031979416,3.852042031979416,2.8868009893303754,0.9036989492005146,1.0,0.8021063196832539,0.7803677033083292,2.7971070618138
iqp,4,3,40,4,0,0.7235928723223588,0.16849032977122985,5.371756866146312,5.37175686614631,3.4094426598255327,0.8657060783463422,1.0,0.696627757123596,0.7918154246974644,2.3377661150859397
iqp,4,3,40,4,1,0.5575131189187013,0.1220208697692713,3.8950659749437997,3.8950659749438,3.002762095327808,0.902623350626405,1.0,0.7472231772604389,0.8181969161400519,2.6698832147110885
iqp,4,3,40,4,2,0.6696217539383434,0.12366351034217403,4.74370392397901,4.743703923979011,3.156714873163483,0.8814074019005248,1.0,0.7481845975108129,0.7856386301039076,2.648618682944448
iqp,4,3,40,4,3,0.6299991690124329,0.19548594035443145,5.430328205395401,5.4303282053954005,3.3908980984533326,0.864241794865115,1.0,0.7122734960244805,0.7823032791977929,2.3549968825986953
variational,4,1,40,4,0,0.3349428076601048,0.036229624028924094,2.1338406767715017,2.133840676771501,1.939329430670499,0.9466539830807125,1.0,0.9071485102875939,0.8806380833201302,3.9338079474587286
variational,4,1,40,4,1,0.2036261197194227,0.020094042619041713,1.9264710481050915,1.9264710481050906,1.7563040160000394,0.9518382237973727,1.0,0.9266080515407966,0.9120695039087495,4.237373709954124
variational,4,1,40,4,2,0.3930945107916697,0.019859858481331847,2.073206902428146,2.0732069024281454,1.857534480369802,0.9481698274392963,1.0,0.9280837865719157,0.8792421366375902,4.051881867704463
variational,4,1,40,4,3,0.4261364008618442,0.04952972248482961,2.3496144325843056,2.3496144325843056,2.1161378507709614,0.9412596391853923,1.0,0.8833549031795007,0.890420894230749,3.8497608846655433
variational,4,2,40,4,0,0.4431186844017668,0.03010049335892291,1.8225433822131358,1.822543382213136,1.7340752625377909,0.9544364154446716,1.0,0.9040992575024267,0.9268188433486858,3.2611025448314783
variational,4,2,40,4,1,0.26987127748853595,0.0215421633811074,1.755280279443145,1.755280279443145,1.6506802637077098,0.9561179930139214,1.0,0.9107413006820124,0.9322013740987105,3.5355908205527737
variational,4,2,40,4,2,0.4986401357355921,0.029367932851302583,1.785553790242898,1.7855537902428982,1.6821379749924454,0.9553611552439275,1.0,0.9071977927097493,0.9344742022919411,3.3545146802867043
variational,4,2,40,4,3,0.5053146684459939,0.028098214320293895,2.0597205294590677,2.0597205294590677,1.9606601364008367,0.9485069867635233,1.0,0.8905756529496472,0.9219204248418373,3.2064097505667153
