fm,n_qubits,depth,seed,acc_quantum,acc_rbf,acc_rff,acc_linear,best_classical,quantum_advantage,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
angle,4,1,0,0.7333333333333333,0.7,0.8,0.7,0.8,-0.06666666666666676,9.07785201618714,9.077852016187137,4.018000643978434,0.8703163997687551,1.0,0.602712579965172,0.7096800801463069,3.5219708366631295
angle,4,1,1,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,0.0,6.769232994673513,6.769232994673513,3.6431231418185805,0.9032966715046641,1.0,0.6849704696004826,0.741699035254827,4.037382352152114
angle,4,1,2,0.5333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.1333333333333333,9.682905284662327,9.68290528466233,4.046379118119591,0.861672781647681,1.0,0.5883895475197386,0.7169985665475342,3.447664139965952
angle,4,1,3,0.6333333333333333,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.06666666666666665,9.851709782339125,9.851709782339121,4.084076812147135,0.8592612888237268,1.0,0.5741069107900315,0.6990151057728942,3.478374451541734
angle,4,1,4,0.6,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.1333333333333333,9.891384108837771,9.89138410883777,4.052903399452278,0.8586945127308889,1.0,0.585019871928221,0.7010090753510909,3.6259643130901376
angle,4,1,5,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.06666666666666665,8.54402691691441,8.544026916914406,3.9454826293719765,0.8779424726155084,1.0,0.620999909408555,0.7124740920062073,3.6914611304208274
angle,4,2,0,0.7333333333333333,0.7,0.8,0.7,0.8,-0.06666666666666676,9.07785201618714,9.077852016187137,4.018000643978434,0.8703163997687551,1.0,0.602712579965172,0.7096800801463069,3.5219708366631295
angle,4,2,1,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,0.0,6.769232994673513,6.769232994673513,3.6431231418185805,0.9032966715046641,1.0,0.6849704696004826,0.741699035254827,4.037382352152114
angle,4,2,2,0.5333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.1333333333333333,9.682905284662327,9.68290528466233,4.046379118119591,0.861672781647681,1.0,0.5883895475197386,0.7169985665475342,3.447664139965952
angle,4,2,3,0.6333333333333333,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.06666666666666665,9.851709782339125,9.851709782339121,4.084076812147135,0.8592612888237268,1.0,0.5741069107900315,0.6990151057728942,3.478374451541734
angle,4,2,4,0.6,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.1333333333333333,9.891384108837771,9.89138410883777,4.052903399452278,0.8586945127308889,1.0,0.585019871928221,0.7010090753510909,3.6259643130901376
angle,4,2,5,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.06666666666666665,8.54402691691441,8.544026916914406,3.9454826293719765,0.8779424726155084,1.0,0.620999909408555,0.7124740920062073,3.6914611304208274
angle,4,3,0,0.7333333333333333,0.7,0.8,0.7,0.8,-0.06666666666666676,9.07785201618714,9.077852016187137,4.018000643978434,0.8703163997687551,1.0,0.602712579965172,0.7096800801463069,3.5219708366631295
angle,4,3,1,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,0.0,6.769232994673513,6.769232994673513,3.6431231418185805,0.9032966715046641,1.0,0.6849704696004826,0.741699035254827,4.037382352152114
angle,4,3,2,0.5333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.1333333333333333,9.682905284662327,9.68290528466233,4.046379118119591,0.861672781647681,1.0,0.5883895475197386,0.7169985665475342,3.447664139965952
