tau,mannwhitney_p,cliff_delta,n_low,n_high,adv_mean_low,adv_mean_high,fdr_p
7.079418333211437,0.10299722867360372,0.13496448303078137,35,181,-0.11825396825396824,-0.08763044812768568,0.9459650458403414
7.807746378383731,0.22002461798523992,0.07608549536227988,43,173,-0.1078811369509044,-0.08879254977520872,0.9459650458403414
8.376931730667835,0.569108106657406,-0.015584415584415584,55,161,-0.0914141414141414,-0.09299516908212559,0.9459650458403414
8.732078436035222,0.4650733995940532,0.007575757575757576,66,150,-0.09553872053872052,-0.09129629629629629,0.9459650458403414
9.371840614985068,0.3189002990533589,0.03881578947368421,76,140,-0.09612573099415204,-0.09067460317460316,0.9459650458403414
9.979267987940824,0.3732822127312132,0.025923295454545456,88,128,-0.09374999999999999,-0.09179687499999997,0.9459650458403414
10.09663842284534,0.6079633753271898,-0.021532341750259427,98,118,-0.09041950113378683,-0.09439736346516006,0.9459650458403414
11.540096550387357,0.8332121455446392,-0.07587448559670781,108,108,-0.08641975308641972,-0.09876543209876543,0.9459650458403414
14.495681692309228,0.8797723766143237,-0.09261023997227757,119,97,-0.08403361344537812,-0.10309278350515462,0.9459650458403414
17.700287291566063,0.7385028356290034,-0.05116279069767442,130,86,-0.0878205128205128,-0.09980620155038761,0.9459650458403414
19.6535321883025,0.8036441703039126,-0.07020676691729323,140,76,-0.0859126984126984,-0.10489766081871343,0.9459650458403414
21.99883670473269,0.7601206284739359,-0.06041772796739684,151,65,-0.08793230316409124,-0.1034188034188034,0.9459650458403414
30.02180222197101,0.8829007094509853,-0.10779606767261088,162,54,-0.0862482853223594,-0.11162551440329216,0.9459650458403414
45.53583332144795,0.5694289539022853,-0.01707218712192499,173,43,-0.09104046242774566,-0.09883720930232558,0.9459650458403414
46.53520305628713,0.9631085472583509,-0.19752038043478262,184,32,-0.0855978260869565,-0.1328125,0.9631085472583509
