tau,mannwhitney_p,cliff_delta,n_low,n_high,adv_mean_low,adv_mean_high,fdr_p
3.910168254750093,0.3912574745991608,0.030303030303030304,33,183,-0.10353535353535352,-0.09061930783242259,0.9350888247524758
3.9534807483989347,0.43436388845575385,0.0159846547314578,46,170,-0.09661835748792269,-0.0915032679738562,0.9350888247524758
3.9880361288637527,0.6307908012635528,-0.03017832647462277,54,162,-0.0905349794238683,-0.093278463648834,0.9350888247524758
4.0862289155672435,0.5104406145090639,-0.002139582272032603,65,151,-0.09188034188034187,-0.09289919058130977,0.9350888247524758
4.117509363385966,0.4540605852576435,0.009586466165413534,76,140,-0.09283625730994152,-0.09246031746031745,0.9350888247524758
4.147454416405733,0.9350888247524758,-0.12100497159090909,88,128,-0.08080808080808079,-0.10069444444444443,0.9350888247524758
4.409220850076704,0.8289566499648451,-0.07493719137139392,97,119,-0.08591065292096219,-0.09803921568627448,0.9350888247524758
4.616869300569094,0.8997545563392813,-0.100480109739369,108,108,-0.08359053497942384,-0.10159465020576129,0.9350888247524758
4.848752676130033,0.8797723766143237,-0.09261023997227757,119,97,-0.08403361344537812,-0.10309278350515462,0.9350888247524758
5.044069898894534,0.8852546659452972,-0.09633273703041145,130,86,-0.08397435897435895,-0.10562015503875967,0.9350888247524758
5.130050656382146,0.763495193327199,-0.05892857142857143,140,76,-0.0873015873015873,-0.1023391812865497,0.9350888247524758
5.264349544874336,0.8326922248955163,-0.08252674477840041,151,65,-0.08701250919793965,-0.10555555555555554,0.9350888247524758
5.526400323665649,0.8829007094509853,-0.10779606767261088,162,54,-0.0862482853223594,-0.11162551440329216,0.9350888247524758
5.92144915434729,0.4629809676150947,0.009275440247345073,173,43,-0.0920038535645472,-0.0949612403100775,0.9350888247524758
5.942095843696448,0.7233805314595044,-0.06538722826086957,184,32,-0.08831521739130435,-0.11718749999999997,0.9350888247524758
