dataset,n_features,n_samples_total,fm,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
iris,4,150,angle,0,1.0,1.0,0.0,0.395440597628098,4.675170670396351,4.67517067039635,2.787022723867596,0.9554745650438443,0.7714285714285715,0.8470257725868539,0.6035363309925359,6.680556237059742
iris,4,150,angle,1,1.0,1.0,0.0,0.35244676319517304,4.4476927497230525,4.447692749723051,2.732476536283147,0.957641021431209,0.7714285714285715,0.8488271955510133,0.5895426022390441,6.814050499293542
iris,4,150,angle,2,1.0,1.0,0.0,0.46459001371645253,4.378390013773367,4.378390013773367,2.720655211761361,0.9583010474878727,0.7714285714285715,0.8542483932531196,0.6078866385967852,6.73771880905646
iris,4,150,iqp,0,0.6444444444444445,1.0,-0.3555555555555555,0.8811727708786169,5.4972538194887814,5.497253819488781,3.205778079594423,0.9476452017191545,0.9904761904761905,0.782307651471281,0.6921707035942322,5.070395921612712
iris,4,150,iqp,1,0.7111111111111111,1.0,-0.28888888888888886,0.9406931046476306,5.435480791833795,5.435480791833799,3.2194865290570354,0.9482335162682496,0.9904761904761905,0.7782420877767128,0.6762328949903688,5.046540933669839
iris,4,150,iqp,2,0.6444444444444445,1.0,-0.3555555555555555,0.873784505059394,5.421718812797616,5.4217188127976135,3.2405638797083416,0.9483645827352608,0.9904761904761905,0.776232283915535,0.684121759632877,4.958225760305736
iris,4,150,variational,0,1.0,1.0,0.0,0.5800688276943334,4.808797844937349,4.808797844937348,3.039630614203185,0.954201925286311,0.9904761904761905,0.7992707404804051,0.6879364810037805,4.9953743336514735
iris,4,150,variational,1,1.0,1.0,0.0,0.5878894743994298,4.505982260450877,4.505982260450876,2.971710995209965,0.9570858832338012,0.9904761904761905,0.8116790058391191,0.6853156242045388,5.055508772183828
iris,4,150,variational,2,0.9777777777777777,1.0,-0.022222222222222254,0.5949025233843751,4.491332055481836,4.491332055481837,2.9740613127908326,0.9572254089954111,0.9904761904761905,0.8066908181436607,0.6888735466757249,5.0228844226470475
iris,4,150,high_dim,0,0.9111111111111111,1.0,-0.0888888888888889,1.0265564387727282,13.428501038948164,13.428501038948164,4.689191834842248,0.8721095139147794,0.9904761904761905,0.5016544779212226,0.6731695469900465,2.2986685659325046
