fm,gamma,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
angle,0.0,0,0.6,0.5666666666666667,0.033333333333333326,0.5808025533571956,9.077852016187139,9.077852016187144,4.018000643978433,0.8703163997687552,1.0,0.6027125799651718,0.709680080146307,3.521970836657981
angle,0.0,1,0.5666666666666667,0.5666666666666667,0.0,0.36252842624018694,6.769232994673514,6.76923299467351,3.643123141818582,0.9032966715046641,1.0,0.6849704696004827,0.7416990352548272,4.037382352271022
angle,0.0,2,0.6,0.5666666666666667,0.033333333333333326,0.5850483615512603,9.682905284662327,9.682905284662324,4.046379118119591,0.861672781647681,1.0,0.5883895475197386,0.7169985665475344,3.44766413996771
angle,0.05,0,0.6,0.5666666666666667,0.033333333333333326,0.6020178489373855,8.090840031819654,8.090840031819656,3.8904802554833444,0.884416570974005,1.0,0.6328636307861587,0.723564032188111,3.607795968760101
angle,0.05,1,0.5666666666666667,0.5666666666666667,0.0,0.3747560448907154,6.084394303873552,6.084394303873551,3.5170851054971632,0.9130800813732349,1.0,0.7115053720901782,0.7539982632514285,4.117918727470074
angle,0.05,2,0.6,0.5666666666666667,0.033333333333333326,0.6047098458042401,8.650510571831376,8.650510571831376,3.926093493966585,0.8764212775452661,1.0,0.6184901303860433,0.7298323128556834,3.5331829146831804
angle,0.2,0,0.5666666666666667,0.5666666666666667,0.0,0.6700031842259222,5.678627448906306,5.678627448906308,3.461559554403851,0.9188767507299099,1.0,0.7230311468023994,0.7660961085799979,3.896115377801454
angle,0.2,1,0.6333333333333333,0.5666666666666667,0.06666666666666665,0.43430427682475364,4.419513670005416,4.419513670005416,3.1029415441132833,0.9368640904284941,1.0,0.7875668689773426,0.7915413342390701,4.389379542721956
angle,0.2,2,0.5666666666666667,0.5666666666666667,0.0,0.6712945635565977,6.049124399735479,6.049124399735478,3.511605020579863,0.913583937146636,1.0,0.7105734993806776,0.7703064504120046,3.8196849501891803
angle,0.4,0,0.5666666666666667,0.5666666666666667,0.0,0.7573141482325609,3.534144987661937,3.5341449876619353,2.7904601717819295,0.9495122144619723,1.0,0.8346705465150234,0.8246044351625115,4.375035188053998
angle,0.4,1,0.6666666666666666,0.5666666666666667,0.09999999999999998,0.5381526097070243,2.9179836634840486,2.9179836634840504,2.477322950430411,0.9583145190930851,1.0,0.876102836007706,0.8430038166556788,4.843053776175004
angle,0.4,2,0.5,0.5666666666666667,-0.06666666666666665,0.7596730481395729,3.6868536840890798,3.6868536840890793,2.8390887249708077,0.9473306616558703,1.0,0.827547994465933,0.8274866625714142,4.293824655471518
iqp,0.0,0,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.7615522636184514,21.098301826650246,21.098301826650236,5.150390644393013,0.6985956881907107,1.0,0.3669977525025636,0.7139088275706275,1.4257136258453107
iqp,0.0,1,0.5,0.5666666666666667,-0.06666666666666665,0.869080756044318,17.264472093110832,17.264472093110832,4.951188733869873,0.753364684384131,1.0,0.4057357999747316,0.6820739450638955,1.6361396144507965
iqp,0.0,2,0.36666666666666664,0.5666666666666667,-0.2,0.9474838121762265,22.72993211103932,22.72993211103933,5.1321931675792225,0.6752866841280096,1.0,0.3613876458619965,0.6519199651250566,1.6475809929700205
iqp,0.05,0,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.9925961449625406,17.539245649520236,17.53924564952024,5.0337619827078,0.7494393478639967,1.0,0.3979674315122167,0.7461203327845266,1.4546907026376903
iqp,0.05,1,0.5,0.5666666666666667,-0.06666666666666665,1.138956862957667,14.411314661917158,14.411314661917158,4.819217744423966,0.7941240762583264,1.0,0.44074918407023184,0.7061824412763918,1.673801992789303
iqp,0.05,2,0.4,0.5666666666666667,-0.16666666666666663,1.191070350425001,19.09012084997098,19.09012084997098,5.020106356844267,0.7272839878575574,1.0,0.3921648468020829,0.6902950808803126,1.684138265020855
iqp,0.2,0,0.5666666666666667,0.5666666666666667,0.0,1.6119841361928025,6.827298390286838,6.827298390286836,4.2070985342681615,0.9024671658530452,1.0,0.571669934385728,0.8003495707833642,1.6424581008985186
iqp,0.2,1,0.5,0.5666666666666667,-0.06666666666666665,1.758302131211082,6.18394196101076,6.183941961010761,4.002602593061863,0.9116579719855605,1.0,0.6151480648317582,0.802512124399578,1.8830458398126841
iqp,0.2,2,0.5,0.5666666666666667,-0.06666666666666665,1.7393143840061167,7.319290159340974,7.319290159340973,4.2259869470309965,0.8954387120094147,1.0,0.5652316730869628,0.825464872743709,1.893260450609922
iqp,0.4,0,0.6,0.5666666666666667,0.033333333333333326,1.207002715724157,1.8987067142590053,1.8987067142590046,2.040115822353305,0.9728756183677285,1.0,0.8690337503110873,0.9050158944810787,2.133285826770427
iqp,0.4,1,0.5,0.5666666666666667,-0.06666666666666665,1.1544447492478505,1.9171381794053595,1.9171381794053604,2.0212119881289663,0.9726123117227806,1.0,0.8760828950890684,0.9142256929769401,2.384421511801539
iqp,0.4,2,0.5,0.5666666666666667,-0.06666666666666665,1.2368734068254144,1.9438266292686373,1.9438266292686386,2.1040963498357916,0.9722310481533052,1.0,0.8566815943095877,0.9247061252945115,2.4051016824338634
variational,0.0,0,0.5666666666666667,0.5666666666666667,0.0,0.7590603701384034,6.668143041204124,6.668143041204122,3.969202361766945,0.9047408136970839,1.0,0.5953578701639812,0.8263741693252429,2.2535041833397624
variational,0.0,1,0.43333333333333335,0.5666666666666667,-0.1333333333333333,0.560493067733475,5.029708429353124,5.029708429353122,3.5785608329946976,0.9281470224378126,1.0,0.6642800773571497,0.8488433654710683,2.549392211475611
variational,0.0,2,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.8009565348258963,7.879735797832306,7.879735797832304,4.076449090054257,0.8874323457452528,1.0,0.5840252979103809,0.7910654891281692,2.196454196632828
variational,0.05,0,0.5666666666666667,0.5666666666666667,0.0,0.7788649309964151,5.092166195646834,5.092166195646834,3.676413067161055,0.9272547686336167,1.0,0.6430816292065441,0.8598688707801878,2.304120897661884
variational,0.05,1,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.5615935114628426,3.9505156708016096,3.950515670801611,3.280175009156289,0.9435640618456913,1.0,0.7088943508905975,0.8744317244099152,2.601127179298658
variational,0.05,2,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.8172720850309291,6.069251124455931,6.069251124455933,3.8321315651668786,0.9132964125077724,1.0,0.6251632133797053,0.8282814168085028,2.2432632953054203
variational,0.2,0,0.5666666666666667,0.5666666666666667,0.0,0.8313235450839228,2.5166561442085595,2.5166561442085604,2.6256331099438692,0.9640477693684492,1.0,0.7860791650848725,0.927974508933759,2.5215889610152993
variational,0.2,1,0.4,0.5666666666666667,-0.16666666666666663,0.597568449775708,2.1560099013722103,2.1560099013722103,2.2787229674813014,0.9691998585518256,1.0,0.8319447222830079,0.93018592963901,2.8117748807505465
variational,0.2,2,0.4,0.5666666666666667,-0.16666666666666663,0.8588536054678275,2.806461159829433,2.806461159829433,2.8092214011734677,0.9599076977167224,1.0,0.7625266567134631,0.9106178501482216,2.454244663513522
variational,0.4,0,0.4666666666666667,0.5666666666666667,-0.09999999999999998,0.8704327161053391,1.4249771692969844,1.4249771692969835,1.301265903548452,0.9796431832957574,1.0,0.921535216060057,0.9663011262211244,2.9585520491198998
variational,0.4,1,0.5,0.5666666666666667,-0.06666666666666665,0.6630102104171909,1.343165984324936,1.3431659843249362,1.112523622996699,0.9808119145096438,1.0,0.9398635437428233,0.9703226417612335,3.2309245094529007
